participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.trader_uuid,player.current_cash,player.num_shares,player.dividend_per_share,player.dividend_cash,player.cash_after_dividend,player.daybreak_snapshot_error,player.assigned_initial_cash,player.assigned_initial_shares,player.forecast_price_next_day,player.forecast_confidence_next_day,player.forecast_survey_json,player.realized_next_day_closing_price,player.forecast_bonus_earned,player.forecast_bonus_scored,group.id_in_subsession,group.trading_session_uuid,group.trading_api_base,group.trading_ws_base,group.trading_init_error,group.trading_day_duration_minutes,group.treatment,group.market_design,group.group_composition,group.noise_trader_draw,group.noise_trader_present,group.num_days,group.dividends_csv,group.observed_last_transaction_price,group.closing_price,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,hquseb9c,,0,0,28,,,,0,,,0.0,1,,0.0,,0.0,0.0,0.0,0.0,0.0,,2600.0,20.0,,,,,,,1,,,,,2,gh,gamified,human_only,,,2,,,,1,0o20vskc,,,,,1
2,s9g6a967,,0,0,28,,,,0,,,0.0,2,,0.0,,0.0,0.0,0.0,0.0,0.0,,3800.0,10.0,,,,,,,1,,,,,2,gh,gamified,human_only,,,2,,,,1,0o20vskc,,,,,1
3,j6e2cd9j,,0,0,28,,,,0,,,0.0,1,,0.0,,0.0,0.0,0.0,0.0,0.0,,2600.0,20.0,,,,,,,2,,,,,2,gh,gamified,human_only,,,2,,,,1,0o20vskc,,,,,1
4,c60p0ryg,,0,0,28,,,,0,,,0.0,2,,0.0,,0.0,0.0,0.0,0.0,0.0,,3800.0,10.0,,,,,,,2,,,,,2,gh,gamified,human_only,,,2,,,,1,0o20vskc,,,,,1
5,xgiixcrd,,0,0,28,,,,0,,,0.0,1,,0.0,,0.0,0.0,0.0,0.0,0.0,,2600.0,20.0,,,,,,,3,,,,,2,nh,non_gamified,human_only,,,2,,,,1,0o20vskc,,,,,1
6,8tqsr6ta,,0,0,28,,,,0,,,0.0,2,,0.0,,0.0,0.0,0.0,0.0,0.0,,3800.0,10.0,,,,,,,3,,,,,2,nh,non_gamified,human_only,,,2,,,,1,0o20vskc,,,,,1
7,ywz75sgf,,0,0,28,,,,0,,,0.0,1,,0.0,,0.0,0.0,0.0,0.0,0.0,,2600.0,20.0,,,,,,,4,,,,,2,nh,non_gamified,human_only,,,2,,,,1,0o20vskc,,,,,1
8,gnftim38,,0,0,28,,,,0,,,0.0,2,,0.0,,0.0,0.0,0.0,0.0,0.0,,3800.0,10.0,,,,,,,4,,,,,2,nh,non_gamified,human_only,,,2,,,,1,0o20vskc,,,,,1
9,2zgdmcjd,,0,0,28,,,,0,,,0.0,1,,0.0,,0.0,0.0,0.0,0.0,0.0,,2600.0,20.0,,,,,,,5,,,,,2,gm,gamified,hybrid,,,2,,,,1,0o20vskc,,,,,1
10,tngrtfod,,0,0,28,,,,0,,,0.0,2,,0.0,,0.0,0.0,0.0,0.0,0.0,,3800.0,10.0,,,,,,,5,,,,,2,gm,gamified,hybrid,,,2,,,,1,0o20vskc,,,,,1
