trading_session_uuid,is_simulated,market_number,trading_day,event_seq,event_ts,record_kind,event_type,side,aggressor_side,order_id,trader_uuid,price,size,size_delta,size_resting_after,queue_position,queue_size,status_after,match_id,contra_order_id,bid_order_id,ask_order_id,bid_trader_uuid,ask_trader_uuid,source_created_ts
0bf46949-efb1-42b0-a71a-49afa856b838,True,1,1,1,2026-03-12T15:57:44.532946+00:00,order,add,bid,,d15265a2-7c01-46d9-8a7f-5e94d3196d09,700a465b-2274-4beb-8e2a-828205b4dc48,120.0,1.0,1.0,1.0,1,1.0,active,,,,,,,1773331064.535374
0bf46949-efb1-42b0-a71a-49afa856b838,True,1,1,2,2026-03-12T15:57:44.537455+00:00,trade,trade,ask,S,,,120.0,1.0,,,,,,37f1c8c8-fb79-4756-8cab-4a28c37fa19d,,d15265a2-7c01-46d9-8a7f-5e94d3196d09,2e5d3d06-6b5a-4517-b50b-6bf039934824,700a465b-2274-4beb-8e2a-828205b4dc48,a41a6680-e63e-43e5-be2c-320235a034f4,1773331064.53924
0bf46949-efb1-42b0-a71a-49afa856b838,True,1,1,3,2026-03-12T15:57:44.539995+00:00,order,fill,ask,,2e5d3d06-6b5a-4517-b50b-6bf039934824,a41a6680-e63e-43e5-be2c-320235a034f4,120.0,1.0,-1.0,0.0,,,executed,37f1c8c8-fb79-4756-8cab-4a28c37fa19d,d15265a2-7c01-46d9-8a7f-5e94d3196d09,,,,,1773331064.541569
0bf46949-efb1-42b0-a71a-49afa856b838,True,1,1,4,2026-03-12T15:57:44.542206+00:00,order,fill,bid,,d15265a2-7c01-46d9-8a7f-5e94d3196d09,700a465b-2274-4beb-8e2a-828205b4dc48,120.0,1.0,-1.0,0.0,,,executed,37f1c8c8-fb79-4756-8cab-4a28c37fa19d,2e5d3d06-6b5a-4517-b50b-6bf039934824,,,,,1773331064.544775
0bf46949-efb1-42b0-a71a-49afa856b838,True,1,1,5,2026-03-12T15:57:44.550470+00:00,order,add,bid,,9a99c783-316f-445b-b36b-dfcdb4136f70,700a465b-2274-4beb-8e2a-828205b4dc48,115.0,1.0,1.0,1.0,1,1.0,active,,,,,,,1773331064.552403
0bf46949-efb1-42b0-a71a-49afa856b838,True,1,1,6,2026-03-12T15:57:44.554295+00:00,order,add,ask,,c479a9e5-5b42-4549-be63-cafa058ea177,a41a6680-e63e-43e5-be2c-320235a034f4,125.0,1.0,1.0,1.0,1,1.0,active,,,,,,,1773331064.555791
db496c26-c51a-472d-bed2-db805b966bec,True,2,1,1,2026-03-12T15:57:44.861701+00:00,order,add,bid,,bcb48906-30bf-4a4b-9f1b-a45f0e58d387,2ae682af-5a7b-4752-98ae-21ff7bd1fb9a,120.0,1.0,1.0,1.0,1,1.0,active,,,,,,,1773331064.864012
db496c26-c51a-472d-bed2-db805b966bec,True,2,1,2,2026-03-12T15:57:44.866026+00:00,trade,trade,ask,S,,,120.0,1.0,,,,,,5e760bd9-5704-49a0-8b0b-f8a5a61384e5,,bcb48906-30bf-4a4b-9f1b-a45f0e58d387,4a1a71f3-ae93-4dc2-971d-4591dcd8e302,2ae682af-5a7b-4752-98ae-21ff7bd1fb9a,8f6316f2-e9f5-4356-b1d7-4145936d7ff2,1773331064.867857
db496c26-c51a-472d-bed2-db805b966bec,True,2,1,3,2026-03-12T15:57:44.868608+00:00,order,fill,ask,,4a1a71f3-ae93-4dc2-971d-4591dcd8e302,8f6316f2-e9f5-4356-b1d7-4145936d7ff2,120.0,1.0,-1.0,0.0,,,executed,5e760bd9-5704-49a0-8b0b-f8a5a61384e5,bcb48906-30bf-4a4b-9f1b-a45f0e58d387,,,,,1773331064.870174
db496c26-c51a-472d-bed2-db805b966bec,True,2,1,4,2026-03-12T15:57:44.870829+00:00,order,fill,bid,,bcb48906-30bf-4a4b-9f1b-a45f0e58d387,2ae682af-5a7b-4752-98ae-21ff7bd1fb9a,120.0,1.0,-1.0,0.0,,,executed,5e760bd9-5704-49a0-8b0b-f8a5a61384e5,4a1a71f3-ae93-4dc2-971d-4591dcd8e302,,,,,1773331064.87244
db496c26-c51a-472d-bed2-db805b966bec,True,2,1,5,2026-03-12T15:57:44.878034+00:00,order,add,bid,,86bb2af2-7b18-431b-b386-129944cab8fe,2ae682af-5a7b-4752-98ae-21ff7bd1fb9a,115.0,1.0,1.0,1.0,1,1.0,active,,,,,,,1773331064.879619
db496c26-c51a-472d-bed2-db805b966bec,True,2,1,6,2026-03-12T15:57:44.881603+00:00,order,add,ask,,25843e63-1f70-4096-aaef-70db2405122f,8f6316f2-e9f5-4356-b1d7-4145936d7ff2,125.0,1.0,1.0,1.0,1,1.0,active,,,,,,,1773331064.883155
